page_number,scheme_ordinal,summary_ordinal,reaction_number,inferred_product_count,status,attempts,skip_reason,result_page_url,detail_url
49,962,1,31-306-CAS-7948859,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=962&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=962&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F8008f285-477a-526f-aa9f-2616310802ad&uriForGroup=substance%2Fpt%2F1193325697%2Bsubstance%2Fpt%2F24424995-%3Esubstance%2Fpt%2F1193325700%2Bsubstance%2Fpt%2F1193325971
49,962,2,31-306-CAS-12740801,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=962&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=962&ordinal=2&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F3760a64b-0247-5a2d-9f8f-07a7ba1d9923&uriForGroup=substance%2Fpt%2F1193325697%2Bsubstance%2Fpt%2F24424995-%3Esubstance%2Fpt%2F1193325700%2Bsubstance%2Fpt%2F1193325971
49,963,1,31-614-CAS-27029369,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=963&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=963&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F337a1e3a-3786-5c2a-bb2c-0e8cfa69ea42&uriForGroup=substance%2Fpt%2F1567840747%2Bsubstance%2Fpt%2F360575286-%3Esubstance%2Fpt%2F1912463547%2Bsubstance%2Fpt%2F1912463558
49,964,1,31-355-CAS-16917779,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=964&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=964&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F1986a98f-fc97-5b03-a0c8-c884a769ec49&uriForGroup=substance%2Fpt%2F57701276%2Bsubstance%2Fpt%2F97723-%3Esubstance%2Fpt%2F2089249943%2Bsubstance%2Fpt%2F2089249954
49,964,2,31-355-CAS-16917263,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=964&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=964&ordinal=2&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F98c4a7b0-5182-5085-accd-d51b139347b3&uriForGroup=substance%2Fpt%2F57701276%2Bsubstance%2Fpt%2F97723-%3Esubstance%2Fpt%2F2089249943%2Bsubstance%2Fpt%2F2089249954
49,965,1,31-614-CAS-28629577,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=965&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=965&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2Fc15c9e7a-a25e-5740-88e6-2e077f10a968&uriForGroup=substance%2Fpt%2F1912463763%2Bsubstance%2Fpt%2F360575286-%3Esubstance%2Fpt%2F1912463569%2Bsubstance%2Fpt%2F1912463570
49,966,1,31-306-CAS-1219493,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=966&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=966&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2Fdb1ee7dc-c8d3-544c-a787-46a12bedc827&uriForGroup=substance%2Fpt%2F1193325846%2Bsubstance%2Fpt%2F24424995-%3Esubstance%2Fpt%2F1193325857%2Bsubstance%2Fpt%2F1221128079
49,966,2,31-306-CAS-1150130,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=966&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=966&ordinal=2&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F2329b694-8539-51c4-aa96-071bc02a0303&uriForGroup=substance%2Fpt%2F1193325846%2Bsubstance%2Fpt%2F24424995-%3Esubstance%2Fpt%2F1193325857%2Bsubstance%2Fpt%2F1221128079
49,967,1,31-357-CAS-11014638,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=967&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=967&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2Fb68d18bb-8d55-5a9b-a37d-a87db424515a&uriForGroup=substance%2Fpt%2F2549511%2Bsubstance%2Fpt%2F57701276-%3Esubstance%2Fpt%2F151914395%2Bsubstance%2Fpt%2F151914408
49,968,1,31-006-CAS-23142235,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=968&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=968&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2Fee22d42f-063d-509d-a5cb-fbee104a4863&uriForGroup=substance%2Fpt%2F2259728679%2Bsubstance%2Fpt%2F74974542-%3Esubstance%2Fpt%2F2259728862%2Bsubstance%2Fpt%2F2259728873
49,968,2,31-006-CAS-19831431,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=968&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=968&ordinal=2&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F7557d7aa-2d9a-5532-8d6c-805c4789e35a&uriForGroup=substance%2Fpt%2F2259728679%2Bsubstance%2Fpt%2F74974542-%3Esubstance%2Fpt%2F2259728862%2Bsubstance%2Fpt%2F2259728873
49,969,1,31-355-CAS-16917820,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=969&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=969&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F19f08109-a187-5d39-a24b-be0b24221d32&uriForGroup=substance%2Fpt%2F71117367%2Bsubstance%2Fpt%2F97723-%3Esubstance%2Fpt%2F2089250042%2Bsubstance%2Fpt%2F2089250053
49,969,2,31-355-CAS-16917819,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=969&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=969&ordinal=2&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F3077c315-5ee4-5637-8662-9185e916cb38&uriForGroup=substance%2Fpt%2F71117367%2Bsubstance%2Fpt%2F97723-%3Esubstance%2Fpt%2F2089250042%2Bsubstance%2Fpt%2F2089250053
49,970,1,31-355-CAS-16917838,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=970&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=970&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2Fdd8b5440-68ac-5424-883f-4b9ffaf5c919&uriForGroup=substance%2Fpt%2F2089250202%2Bsubstance%2Fpt%2F97723-%3Esubstance%2Fpt%2F2089250213%2Bsubstance%2Fpt%2F2089250224
49,970,2,31-355-CAS-16917839,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=970&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=970&ordinal=2&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F7a3ddee6-a6d2-51b6-a956-f8ade5e4278e&uriForGroup=substance%2Fpt%2F2089250202%2Bsubstance%2Fpt%2F97723-%3Esubstance%2Fpt%2F2089250213%2Bsubstance%2Fpt%2F2089250224
49,971,1,31-357-CAS-12863922,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=971&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=971&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2Fe9873cb7-8b12-5281-ab73-93d0aacf56fa&uriForGroup=substance%2Fpt%2F2549511%2Bsubstance%2Fpt%2F71117378-%3Esubstance%2Fpt%2F151914362%2Bsubstance%2Fpt%2F151914373
49,972,1,31-357-CAS-6450593,2,skipped,1,多产物反应，按当前课题规则跳过,https://scifinder-n.cas.org/search/reaction/6a58ba6462c3022ca7b601fb/49,https://scifinder-n.cas.org/navigate/?appId=2d982be6-4aaf-4003-9ea9-47c78e9317fa&backKey=6a58ba6462c3022ca7b601fb&backToPage=49&cidValue=816&groupOrdinal=972&groupViewContextIndicator=false&isFromAllResults=false&isFromAlternateReactionSteps=false&isFromReactionGroup=false&key=6a58ba6462c3022ca7b601fb&metricsOrdinal=972&ordinal=1&resultType=reaction&resultView=DETAIL&state=searchDetail.reaction&suppressNavigation=false&uiContext=366&uiSubContext=551&uriForDetails=multistep-reaction%2F1b1eee61-60cb-5ba7-8d9d-a442da2b6955&uriForGroup=substance%2Fpt%2F108054%2Bsubstance%2Fpt%2F86783815-%3Esubstance%2Fpt%2F144607272%2Bsubstance%2Fpt%2F144607283
